id,object_id,object_repr,action_flag,change_message,content_type_id,user_id,action_time
1,1,"Blog Post: Communicating between your past, present, and future selves by admin",1,"[{""added"": {}}]",11,1,2024-12-02 03:08:27.766968
2,2,Blog Post: Dear Future Self letters: a FutureMe compilation by admin,1,"[{""added"": {}}]",11,1,2024-12-02 04:01:17.984689
3,194,Public Letter: Letters from 2024-11-18,2,"[{""changed"": {""fields"": [""Feature photo""]}}]",7,1,2024-12-05 01:32:06.593993
4,391,Public Letter: This is the kristu panta,2,"[{""changed"": {""fields"": [""Title"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-05 03:40:56.789297
5,386,Public Letter: To become who you want to be,2,"[{""changed"": {""fields"": [""Nickname"", ""Title"", ""Tags"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-05 03:46:07.449902
6,392,Public Letter: DEEPSHOVA WANTS TO BE RICH,2,"[{""changed"": {""fields"": [""Title"", ""Tags"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-06 18:02:14.380668
7,392,Public Letter: Deepshova wants to be rich,2,"[{""changed"": {""fields"": [""Title""]}}]",7,1,2024-12-06 18:02:52.684658
8,391,Public Letter: This is the kristu panta,2,"[{""changed"": {""fields"": [""Is published""]}}]",7,1,2024-12-07 16:21:38.212186
9,312,Public Letter: Keep pushing your boundaries.,2,"[{""changed"": {""fields"": [""Title"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-07 16:26:50.650692
10,304,Public Letter: life that you are proud of,2,"[{""changed"": {""fields"": [""Title"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-07 16:27:38.377129
11,355,Public Letter: wealth of experiences,2,"[{""changed"": {""fields"": [""Title"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-07 16:28:03.933548
12,308,Public Letter: stayed positive and optimistic,2,"[{""changed"": {""fields"": [""Title"", ""Tags"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-07 16:28:30.126899
13,384,Public Letter: world outside is empty,2,"[{""changed"": {""fields"": [""Title"", ""Tags"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-07 16:29:17.483413
14,383,Public Letter: I did this just for the sole reason,2,"[{""changed"": {""fields"": [""Title"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-07 16:30:10.792153
15,382,Public Letter: Crowding around the dinner table,2,"[{""changed"": {""fields"": [""Title"", ""Tags"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-07 16:31:48.995319
16,381,Public Letter: 10 years from now and u have someone,2,"[{""changed"": {""fields"": [""Title"", ""Tags"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-07 16:32:16.003352
17,380,Public Letter: congratulations on this five-year journey,2,"[{""changed"": {""fields"": [""Title"", ""Tags"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-07 16:32:46.025508
18,379,Public Letter: The moment that you read this message,2,"[{""changed"": {""fields"": [""Title"", ""Tags"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-07 16:33:12.428747
19,378,Public Letter: hopefully you committed to something,2,"[{""changed"": {""fields"": [""Title"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-07 16:33:33.302247
20,377,Public Letter: I hope that in the future there will be,2,"[{""changed"": {""fields"": [""Title"", ""Feature photo"", ""Is published""]}}]",7,1,2024-12-07 16:52:47.346030
21,386,Public Letter: To become who you want to be,2,"[{""changed"": {""fields"": [""Feature photo""]}}]",7,1,2024-12-07 16:53:03.664166
22,384,Public Letter: world outside is empty,2,"[{""changed"": {""fields"": [""Feature photo""]}}]",7,1,2024-12-07 16:53:19.652772
23,383,Public Letter: I did this just for the sole reason,2,"[{""changed"": {""fields"": [""Feature photo""]}}]",7,1,2024-12-07 16:53:56.585840
24,382,Public Letter: Crowding around the dinner table,2,"[{""changed"": {""fields"": [""Feature photo""]}}]",7,1,2024-12-07 16:54:09.977621
25,381,Public Letter: 10 years from now and u have someone,2,"[{""changed"": {""fields"": [""Feature photo""]}}]",7,1,2024-12-07 16:54:20.268408
26,377,Public Letter: I hope that in the future there will be,2,"[{""changed"": {""fields"": [""Feature photo""]}}]",7,1,2024-12-07 16:54:30.631037
27,378,Public Letter: hopefully you committed to something,2,"[{""changed"": {""fields"": [""Feature photo""]}}]",7,1,2024-12-07 16:54:40.261510
28,379,Public Letter: The moment that you read this message,2,"[{""changed"": {""fields"": [""Feature photo""]}}]",7,1,2024-12-07 16:54:51.952201
29,381,Public Letter: 10 years from now and u have someone,2,"[{""changed"": {""fields"": [""Feature photo""]}}]",7,1,2024-12-07 16:55:04.670191
30,380,Public Letter: congratulations on this five-year journey,2,"[{""changed"": {""fields"": [""Feature photo""]}}]",7,1,2024-12-07 16:55:30.069190
31,304,Public Letter: life that you are proud of,2,"[{""changed"": {""fields"": [""Feature photo""]}}]",7,1,2024-12-07 16:56:31.403016
32,389,Public Letter: The Letter From {self.shared_date},2,"[{""changed"": {""fields"": [""Is published""]}}]",7,1,2024-12-07 19:14:18.945176
33,387,Public Letter: The Letter From {self.shared_date},2,"[{""changed"": {""fields"": [""Is published""]}}]",7,1,2024-12-07 19:14:45.195185
34,388,Public Letter: The Letter From {self.shared_date},2,"[{""changed"": {""fields"": [""Is published""]}}]",7,1,2024-12-07 19:14:57.309031
35,390,Public Letter: The Letter From {self.shared_date},2,"[{""changed"": {""fields"": [""Is published""]}}]",7,1,2024-12-07 19:15:03.750524
36,389,Public Letter: The Letter From {self.shared_date},2,[],7,1,2024-12-07 19:15:11.323937
37,388,Public Letter: The Letter From {self.shared_date},2,[],7,1,2024-12-07 19:15:16.125866
38,388,Public Letter: The Letter From {self.shared_date},2,[],7,1,2024-12-07 19:15:20.677500
39,388,Public Letter: The Letter From {self.shared_date},2,[],7,1,2024-12-07 19:15:24.447903
40,387,Public Letter: The Letter From {self.shared_date},2,[],7,1,2024-12-07 19:15:28.335667
